Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Antonucci, Federica; Armano, M; Audley, H; Auger, G; Benedetti, Matteo; Binetruy, P; Bogenstahl, J; Bortoluzzi, Daniele; Bosetti, Paolo; Brandt, N; ",The LISA pathfinder mission,Classical and Quantum Gravity,29,12,124014,2012,IOP Publishing
"Seoane, P Amaro; Aoudia, Sofiane; Audley, H; Auger, G; Babak, S; Baker, J; Barausse, E; Barke, S; Bassan, M; Beckmann, V; ",The gravitational universe,arXiv preprint arXiv:1305.5720,,,,2013,
"Vitale, Stefano; Congedo, Giuseppe; Dolesi, Rita; Ferroni, Valerio; Hueller, Mauro; Vetrugno, Daniele; Weber, William Joseph; Audley, Heather; Danzmann, Karsten; Diepholz, Ingo; ",Data series subtraction with unknown and unmodeled background noise,Physical Review D,90,4,042003,2014,APS
"Gibert, Ferran; Nofrarias, Miquel; Diaz-Aguiló, Marc; Lobo, Alberto; Karnesis, Nikolaos; Mateos, Ignacio; Sanjuán, Josep; Lloro, Ivan; Gesa, Lluís; Martín, Víctor; ",State-space modelling for heater induced thermal effects on LISA Pathfinder's Test Masses,Journal of Physics: Conference Series,363,1,012044,2012,IOP Publishing
"Karnesis, Nikolaos; Nofrarias, Miquel; Sopuerta, Carlos F; Gibert, Ferran; Armano, Michele; Audley, Heather; Congedo, Giuseppe; Diepholz, Ingo; Ferraioli, Luigi; Hewitson, Martin; ",Bayesian model selection for LISA pathfinder,Physical Review D,89,6,062001,2014,APS
"Ferraioli, Luigi; Porter, Edward K; Armano, Michele; Audley, Heather; Congedo, Giuseppe; Diepholz, Ingo; Gibert, Ferran; Hewitson, Martin; Hueller, Mauro; Karnesis, Nikolaos; ",Improving Bayesian analysis for LISA Pathfinder using an efficient Markov Chain Monte Carlo method,Experimental Astronomy,37,,109-125,2014,Springer Netherlands
"Teran, Marcelo; Martin, Victor; Gesa, Ll; Mateos, Ignacio; Gibert, Ferran; Karnesis, Nico; Ramos-Castro, J; Schwarze, TS; Gerberding, Oliver; Heinzel, Gerhard; ",Towards a FPGA-controlled deep phase modulation interferometer,Journal of Physics: Conference Series,610,1,012042,2015,IOP Publishing
"Karnesis, N; Nofrarias, M; Sopuerta, CF; Lobo, A; ",Improving Markov Chain Monte Carlo algorithms in LISA Pathfinder Data Analysis,Journal of Physics: Conference Series,363,1,012048,2012,IOP Publishing
"Nofrarias, M; Gibert, F; Karnesis, N; Garcia, AF; Hewitson, M; Heinzel, G; Danzmann, K; ",Subtraction of temperature induced phase noise in the LISA frequency band,Physical review D,87,10,102003,2013,American Physical Society
"Gibert, Ferran; Nofrarias, Miquel; Karnesis, Nico; Gesa, Lluis; Martin, Victor; Mateos, Ignacio; Lobo, Alberto; Flatscher, Reinhold; Gerardi, Domenico; Burkhardt, Johannes; ",Thermo-elastic induced phase noise in the LISA Pathfinder spacecraft,Classical and Quantum Gravity,32,4,045014,2015,IOP Publishing
"Nofrarias, M; Antonucci, Federica; Armano, M; Audley, H; Auger, G; Benedetti, Matteo; Binetruy, P; Bogenstahl, J; Bortoluzzi, Daniele; Brandt, N; ",State space modelling and data analysis exercises in LISA Pathfinder,arXiv preprint arXiv:1306.4487,,,,2013,
"Gibert, Ferran; Nofrarias, Miquel; Karnesis, Nikolaos; Díaz-Aguiló, Marc; Mateos, Ignacio; Lobo, Alberto; Gesa, Lluís; Martín, Víctor; Lloro, Ivan; ",Closed loop simulations of the thermal experiments in LISA Pathfinder,arXiv preprint arXiv:1312.3191,,,,2013,
"Karnesis, Nikolaos; Pavón Coloma, Diego; ",Bayes ian data analys is for li sa pathfinder. Techniques applied to system identification experiments,,,,,2015,"Universitat Autònoma de Barcelona,"
"Armano, M; Audley, H; Auger, G; Baird, J; Binetruy, P; Born, Michael; Bortoluzzi, D; Brandt, N; Bursi, A; Caleno, M; ",A strategy to characterize the lisa-pathfinder cold gas thruster system,Journal of Physics: Conference Series,610,1,012026,2015,IOP Publishing
"Armano, M; Audley, H; Auger, G; Baird, J; Binetruy, P; Born, M; Bortoluzzi, Daniele; Brandt, N; Bursi, A; Caleno, M; ",The LISA pathfinder mission,Journal of Physics: Conference Series,610,1,012005,2015,IOP Publishing
"Armano, M; Audley, H; Auger, G; Binetruy, P; Born, Michael; Bortoluzzi, D; Brandt, N; Bursi, A; Caleno, M; Cavalleri, A; ",Bayesian statistics for the calibration of the LISA Pathfinder experiment,Journal of Physics: Conference Series,610,1,012027,2015,IOP Publishing
"Armano, M; Audley, H; Auger, G; Baird, J; Binetruy, P; Born, Michael; Bortoluzzi, D; Brandt, N; Bursi, A; Caleno, M; ",A noise simulator for eLISA: Migrating LISA Pathfinder knowledge to the eLISA mission,Journal of Physics: Conference Series,610,1,012036,2015,IOP Publishing
"Ferraioli, Luigi; Armano, Michele; Audley, Heather; Congedo, Giuseppe; Diepholz, Ingo; Gibert, Ferran; Hewitson, Martin; Hueller, Mauro; Karnesis, Nikolaos; Korsakova, Natalia; ",Kolmogorov-Smirnov like test for time-frequency Fourier spectrogram analysis in LISA Pathfinder,Experimental Astronomy,39,,1-10,2015,Springer Netherlands
"Mateos, I; Diaz-Aguiló, M; Gesa, L; Gibert, F; Karnesis, N; Lloro, I; Lobo, A; Martín, V; Nofrarias, M; Ramos-Castro, J; ",Magnetic field measurement using chip-scale magnetometers in eLISA,Journal of Physics: Conference Series,610,1,012028,2015,IOP Publishing
"Armano, M; Audley, H; Auger, G; Baird, J; Binetruy, P; Born, M; Bortoluzzi, D; Brandt, N; Bursi, A; Caleno, M; ",In-flight thermal experiments for LISA Pathfinder: Simulating temperature noise at the Inertial Sensors,Journal of Physics: Conference Series,610,1,012023,2015,IOP Publishing
"Gibert, Ferran; Nofrarias, Miquel; Lobo, Alberto; Díaz-Aguiló, Marc; Mateos, Ignacio; Karnesis, Nikolaos; Sanjuán, Josep; Gesa, Lluís; Martín, Víctor; ",Heater induced thermal effects on the LTP dynamics,arXiv preprint arXiv:1312.3201,,,,2013,
"Armano, M; Audley, H; Auger, G; Baird, J; Binetruy, P; Born, Michael; Bortoluzzi, D; Brandt, N; Bursi, A; Caleno, M; ",Disentangling the magnetic force noise contribution in LISA Pathfinder,Journal of Physics: Conference Series,610,1,012024,2015,IOP Publishing
"Armano, M; Audley, H; Auger, G; Baird, J; Binetruy, P; Born, Michael; Bortoluzzi, D; Brandt, N; Bursi, A; Caleno, M; ",Free-flight experiments in LISA Pathfinder,Journal of Physics: Conference Series,610,1,012006,2015,IOP Publishing
"Nofrarias, Miquel; Karnesis, Nikolaos; Gibert, Ferran; Armano, Michele; Audley, Heather; Danzmann, Karsten; Diepholz, Ingo; Dolesi, Rita; Ferraioli, Luigi; Ferroni, Valerio; ",Optimal design of calibration signals in space-borne gravitational wave detectors,Physical Review D,93,10,102004,2016,American Physical Society
"Armano, Michele; Audley, Heather; Auger, Gerard; Baird, Jonathon T; Bassan, Massimo; Binetruy, Pierre; Born, Michael; Bortoluzzi, Daniele; Brandt, Nico; Caleno, Maria; ",Sub-femto-g free fall for space-based gravitational wave observatories: LISA pathfinder results,Physical review letters,116,23,231101,2016,American Physical Society
"Armano, M; Audley, H; Auger, G; Baird, J; Binetruy, P; Born, M; Bortoluzzi, Daniele; Brandt, Nico; Bursi, Alessandro; Caleno, M; ","Constraints on LISA Pathfinder’s self-gravity: design requirements, estimates and testing procedures",Classical and quantum gravity,33,23,235015,2016,IOP Publishing
"Armano, Michele; Audley, H; Auger, G; Baird, JT; Binetruy, P; Born, M; Bortoluzzi, Daniele; Brandt, N; Bursi, A; Caleno, M; ",Charge-induced force noise on free-falling test masses: results from LISA Pathfinder,Physical review letters,118,17,171101,2017,American Physical Society
"Amaro-Seoane, Pau; Audley, Heather; Babak, Stanislav; Baker, John; Barausse, Enrico; Bender, Peter; Berti, Emanuele; Binetruy, Pierre; Born, Michael; Bortoluzzi, Daniele; ",Laser interferometer space antenna,arXiv preprint arXiv:1702.00786,,,,2017,
"Danzmann, Karsten; Amaro-Seoane, Pau; Audley, Heather; Babak, Stanislav; Baker, John; Barausse, Enrico; Bender, Peter; Berti, Emanuele; Binetruy, Pierre; Born, Michael; ",LISA Laser Interferometer Space Antenna,Free radical biology & medicine.,,,,2017,Elsevier Inc.
"Wanner, Gudrun; Karnesis, Nikolaos; ",Preliminary results on the suppression of sensing cross-talk in LISA Pathfinder,Journal of Physics: Conference Series,840,1,012043,2017,IOP Publishing
"Vetrugno, Daniele; Karnesis, Nikolaos; LPF collaboration; ",Calibrating LISA Pathfinder raw data into femto-g differential accelerometry,Journal of Physics: Conference Series,840,1,012002,2017,IOP Publishing
"Amaro-Seoane, Pau; McWilliams, Sean T; Jetzer, Philippe; Nelemans, Gijs; Vallisneri, Michele; Miller, Cole; Bortoluzzi, Daniele; Zweifel, Peter; Man, Nary; Ziemer, John; ",arXiv: Laser Interferometer Space Antenna,,,,,2017,
"Armano, M; Audley, H; Auger, G; Baird, J; Bassan, M; Binetruy, P; Born, M; Bortoluzzi, D; Brandt, N; Caleno, M; ",Capacitive sensing of test mass motion with nanometer precision over millimeter-wide sensing gaps for space-borne gravitational reference sensors,Physical review D,96,6,062004,2017,American Physical Society
"Armano, Michele; Audley, H; Baird, J; Binetruy, Pierre; Born, Michael; Bortoluzzi, Daniele; Castelli, Eleonora; Cavalleri, Antonella; Cesarini, Andrea; Cruise, Adrian M; ",Measuring the Galactic Cosmic Ray flux with the LISA Pathfinder radiation monitor,Astroparticle physics,98,,28-37,2018,North-Holland
"Armano, Michele; Audley, H; Baird, J; Binetruy, P; Born, Michael; Bortoluzzi, D; Castelli, Eleonora; Cavalleri, A; Cesarini, A; Cruise, AM; ",Beyond the required lisa free-fall performance: new lisa pathfinder results down to 20 μ hz,Physical review letters,120,6,061101,2018,American Physical Society
"Armano, Michele; Audley, Heather; Baird, J; Bassan, Massimo; Benella, Simone; Binetruy, Pierre; Born, Michael; Bortoluzzi, D; Cavalleri, Antonella; Cesarini, A; ",Characteristics and energy dependence of recurrent galactic cosmic-ray flux depressions and of a Forbush decrease with LISA Pathfinder,The Astrophysical Journal,854,2,113,2018,IOP Publishing
"Armano, Michele; Audley, H; Baird, J; Binetruy, P; Born, M; Bortoluzzi, D; Castelli, E; Cavalleri, A; Cesarini, A; Cruise, AM; ",Calibrating the system dynamics of LISA Pathfinder,Physical Review D,97,12,122002,2018,American Physical Society
"Armano, Michele; Audley, H; Baird, J; Binetruy, P; Born, M; Bortoluzzi, D; Castelli, E; Cavalleri, A; Cesarini, A; Cruise, AM; ",Precision charge control for isolated free-falling test masses: LISA pathfinder results,Physical Review D,98,6,062001,2018,American Physical Society
"Audley, H; Born, M; Danzmann, K; Diepholz, I; Heinzel, G; Hewitson, M; Karnesis, N; Kaune, B; Korsakova, N; Paczkowsk, S; ",LISA Pathfinder: First steps to observing gravitational waves from space,Journal of Physics: Conference Series 840 (2017),,,012001,2017,London: Institute of Physics
"Armano, M; Audley, H; Auger, G; Baird, J; Bassan, M; Binetruy, P; Born, M; Bortoluzzi, D; Brandt, N; Caleno, M; ",LISA Pathfinder closed-loop analysis: a model breakdown of the in-loop observables,Journal of Physics: Conference Series,840,012038,,2017,
"Anderson, G; Anderson, John; Anderson, M; Aveni, G; Bame, D; Barela, P; Blackman, K; Carmain, A; Chen, Lingzhen; Cherng, M; ",Experimental results from the ST7 mission on LISA Pathfinder,Physical Review D,98,10,102005,2018,American Physical Society
"Armano, Michele; Audley, Heather; Baird, Jonathon; Binetruy, Pierre; Born, Michael; Bortoluzzi, Daniele; Castelli, Eleanora; Cavalleri, Antonella; Cesarini, Andrea; Cruise, AM; ",LISA Pathfinder platform stability and drag-free performance,Physical Review D,99,8,082001,2019,American Physical Society
"Armano, Michele; Audley, H; Baird, J; Benella, S; Binetruy, P; Born, M; Bortoluzzi, D; Castelli, E; Cavalleri, A; Cesarini, A; ",Forbush decreases and< 2 day GCR flux non-recurrent variations studied with LISA pathfinder,The Astrophysical Journal,874,2,167,2019,IOP Publishing
"Audley, H; Baird, J; Binetruy, P; Born, M; Bortoluzzi, D; Castelli, E; Cavalleri, A; Cesarini, A; Cruise, AM; Danzmann, K; ",LISA Pathfinder,28th International Symposium on Lepton Photon Interactions at High Energies,,,185-204,2017,
"Armano, Michele; Audley, Heather; Baird, Jonathon; Binetruy, Pierre; Born, M; Bortoluzzi, Daniele; Castelli, Eleonora; Cavalleri, Antonella; Cesarini, Andrea; Cruise, Adrian M; ",Temperature stability in the sub-milliHertz band with LISA Pathfinder,Monthly Notices of the Royal Astronomical Society,486,3,3368-3379,2019,Oxford University Press
"Karnesis, Nikolaos; Lilley, Marc; Petiteau, Antoine; ","Assessing the detectability of a Stochastic Gravitational Wave Background with LISA, using an excess of power approach",Classical and Quantum Gravity,37,21,215017,2020,IOP Publishing
"Armano, Michele; Audley, H; Baird, J; Binetruy, P; Born, M; Bortoluzzi, D; Castelli, E; Cavalleri, A; Cesarini, A; Cruise, AM; ",LISA Pathfinder micronewton cold gas thrusters: In-flight characterization,Physical review D,99,12,122003,2019,American Physical Society
"Baghi, Q; Slutsky, J; Thorpe, JI; Korsakova, N; Karnesis, N; Petiteau, A; ",The preparation of LISA data analysis with imperfect measurements: dealing with instrumental transients,SF2A-2018: Proceedings of the Annual meeting of the French Society of Astronomy and Astrophysics,,,Di,2018,
"Baghi, Quentin S; Thorpe, James I; Slutsky, Jacob; Korsakova, Natalia; Karnesis, Nikos; ",Extracting gravitational-wave sources from incomplete listening sessions with LISA,American Astronomical Society Meeting Abstracts# 233,233,,141.08,2019,
"Baghi, Quentin; Thorpe, James Ira; Slutsky, Jacob; Baker, John; Dal Canton, Tito; Korsakova, Natalia; Karnesis, Nikos; ",Gravitational-wave parameter estimation with gaps in LISA: a Bayesian data augmentation method,Physical Review D,100,2,022003,2019,American Physical Society
"Armano, Michele; Audley, H; Baird, J; Binetruy, P; Born, M; Bortoluzzi, D; Castelli, E; Cavalleri, A; Cesarini, A; Cruise, AM; ",LISA pathfinder performance confirmed in an open-loop configuration: results from the free-fall actuation mode,Physical review letters,123,11,111101,2019,American Physical Society
"Armano, Michele; Audley, H; Baird, J; Binetruy, P; Born, M; Bortoluzzi, D; Castelli, E; Cavalleri, A; Cesarini, A; Cruise, AM; ",Novel methods to measure the gravitational constant in space,Physical review D,100,6,062003,2019,American Physical Society
"Armano, Michele; Audley, Heather; Baird, Jonathon; Binetruy, Pierre; Born, Michael; Bortoluzzi, Daniele; Castelli, Eleanora; Cavalleri, Antonella; Cesarini, Andrea; Cruise, AM; ",Lisa pathfinder,Lepton Photon Interactions at High Energies: Proceedings of the 28th International Symposium,,,185-204,2020,
"Thorpe, James Ira; Slutsky, Jacob; Baker, John G; Littenberg, Tyson B; Hourihane, Sophie; Pagane, Nicole; Pokorny, Petr; Janches, Diego; Armano, Michele; Audley, Heather; ",Micrometeoroid events in LISA Pathfinder,The Astrophysical Journal,883,1,53,2019,IOP Publishing
"Armano, Michele; Audley, H; Baird, J; Born, M; Bortoluzzi, D; Cardines, N; Castelli, E; Cavalleri, A; Cesarini, A; Cruise, AM; ",Analysis of the accuracy of actuation electronics in the laser interferometer space antenna pathfinder,Review of Scientific Instruments,91,4,,2020,AIP Publishing
"Armano, Michele; Audley, Heather; Baird, J; Binetruy, Pierre; Born, M; Bortoluzzi, Daniele; Castelli, Eleonora; Cavalleri, A; Cesarini, A; Cruise, Adrian M; ",Spacecraft and interplanetary contributions to the magnetic environment on-board LISA Pathfinder,Monthly Notices of the Royal Astronomical Society,494,2,3014-3027,2020,Oxford University Press
"Contaldi, Carlo R; Pieroni, Mauro; Renzini, Arianna I; Cusin, Giulia; Karnesis, Nikos; Peloso, Marco; Ricciardone, Angelo; Tasinato, Gianmassimo; LISA Cosmology Working Group; ",Maximum likelihood map making with the Laser Interferometer Space Antenna,Physical Review D,102,4,043502,2020,American Physical Society
"Amaro-Seoane, Pau; Audley, H; Babak, S; Baker, J; Barausse, E; Bender, P; Berti, E; Binetruy, P; Born, M; Bortoluzzi, D; ",Laser interferometer space antenna. arXiv e-prints,arXiv preprint arXiv:1702.00786,1702,1,,2017,
"Bortoluzzi, Daniele; Vignotto, D; Zambotti, A; Armano, M; Audley, H; Baird, J; Binetruy, P; Born, M; Castelli, E; Cavalleri, A; ",In-flight testing of the injection of the LISA Pathfinder test mass into a geodesic,Advances in Space Research,67,1,504-520,2021,Pergamon
"Flauger, Raphael; Karnesis, Nikolaos; Nardini, Germano; Pieroni, Mauro; Ricciardone, Angelo; Torrado, Jesús; ",Improved reconstruction of a stochastic gravitational wave background with LISA,Journal of Cosmology and Astroparticle Physics,2021,01,059,2021,IOP Publishing
"Amaro-Seoane, Pau; Audley, Heather; Babak, Stanislav; Baker, John; Barausse, Enrico; Bender, Peter; Berti, Emanuele; Binetruy, Pierre; Born, Michael; Bortoluzzi, Daniele; ","Laser Interferometer Space Antenna. arXiv e-prints, page",arXiv preprint arXiv:1702.00786,,,,2017,
"Karnesis, Nikolaos; Babak, Stanislav; Pieroni, Mauro; Cornish, Neil; Littenberg, Tyson; ",Characterization of the stochastic signal originating from compact binary populations as measured by LISA,Physical Review D,104,4,043019,2021,American Physical Society
"Armano, M; Audley, H; Baird, J; Binetruy, P; Born, M; Bortoluzzi, D; Brandt, N; Castelli, E; Cavalleri, A; Cesarini, A; ",Sensor noise in LISA pathfinder: In-flight performance of the optical test mass readout,Physical review letters,126,13,131103,2021,American Physical Society
"Dey, Kallol; Karnesis, Nikolaos; Toubiana, Alexandre; Barausse, Enrico; Korsakova, Natalia; Baghi, Quentin; Basak, Soumen; ",Effect of data gaps on the detectability and parameter estimation of massive black hole binaries with LISA,Physical Review D,104,4,044035,2021,American Physical Society
"Amaro Seoane, Pau; Arca Sedda, Manuel; Babak, Stanislav; Berry, Christopher PL; Berti, Emanuele; Bertone, Gianfranco; Blas, Diego; Bogdanović, Tamara; Bonetti, Matteo; Breivik, Katelyn; ",The effect of mission duration on LISA science objectives,General Relativity and Gravitation,54,1,3,2022,Springer US New York
"Korol, Valeriya; Hallakoun, Na’ama; Toonen, Silvia; Karnesis, Nikolaos; ",Observationally driven Galactic double white dwarf population for LISA,Monthly Notices of the Royal Astronomical Society,511,4,5936-5947,2022,Oxford University Press
